| time  |reset|ARegister|DRegister|PC[]|RAM64[16]|RAM64[17]|RAM64[18]|
| 391   |  0  |      17 |      28 |  13|      28 |     378 |       0 |
| 392   |  0  |      17 |      28 |  14|      28 |     406 |       0 |
| 393   |  0  |      16 |      28 |  15|      28 |     406 |       0 |
| 394   |  0  |      16 |      28 |  16|      29 |     406 |       0 |
| 395   |  0  |       4 |      28 |  17|      29 |     406 |       0 |
| 396   |  0  |       4 |      28 |   4|      29 |     406 |       0 |
| 397   |  0  |      16 |      28 |   5|      29 |     406 |       0 |
| 398   |  0  |      16 |      29 |   6|      29 |     406 |       0 |
| 399   |  0  |     100 |      29 |   7|      29 |     406 |       0 |
| 400   |  0  |     100 |     -71 |   8|      29 |     406 |       0 |
| 401   |  0  |      18 |     -71 |   9|      29 |     406 |       0 |
| 402   |  0  |      18 |     -71 |  10|      29 |     406 |       0 |
| 403   |  0  |      16 |     -71 |  11|      29 |     406 |       0 |
| 404   |  0  |      16 |      29 |  12|      29 |     406 |       0 |
| 405   |  0  |      17 |      29 |  13|      29 |     406 |       0 |
| 406   |  0  |      17 |      29 |  14|      29 |     435 |       0 |
| 407   |  0  |      16 |      29 |  15|      29 |     435 |       0 |
| 408   |  0  |      16 |      29 |  16|      30 |     435 |       0 |
| 409   |  0  |       4 |      29 |  17|      30 |     435 |       0 |
| 410   |  0  |       4 |      29 |   4|      30 |     435 |       0 |
| 411   |  0  |      16 |      29 |   5|      30 |     435 |       0 |
